model,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,cv_mean_f1,cv_std_f1
Logistic Regression,0.9125,0.896,0.9333333333333333,0.9142857142857143,0.9616666666666667,0.8679624429624431,0.024005622855370383
Multinomial Naive Bayes,0.8791666666666667,0.8321167883211679,0.95,0.8871595330739299,0.9592361111111112,0.8734061225816024,0.016264395563399505
Random Forest,0.85,0.823076923076923,0.8916666666666667,0.856,0.9303472222222222,0.827982205686852,0.012650491012715839
